x-axis,1,2,3
second,Volt,Volt,Volt
-66.200E-06,+3.145728610E+00,+0.0E+00,+3.256281372E+00
-66.100E-06,+3.140703484E+00,+0.0E+00,+3.256281372E+00
-66.000E-06,+3.135678358E+00,-10.050251E-03,+3.251256247E+00
-65.900E-06,+3.135678358E+00,+0.0E+00,+3.241205995E+00
-65.800E-06,+3.135678358E+00,-5.025126E-03,+3.266331623E+00
-65.700E-06,+3.135678358E+00,-20.100502E-03,+3.271356749E+00
-65.600E-06,+3.135678358E+00,+0.0E+00,+3.291457251E+00
-65.500E-06,+3.145728610E+00,+0.0E+00,+3.261306498E+00
-65.400E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-65.300E-06,+3.135678358E+00,-10.050251E-03,+3.271356749E+00
-65.200E-06,+3.135678358E+00,+0.0E+00,+3.271356749E+00
-65.100E-06,+3.135678358E+00,-5.025126E-03,+3.246231121E+00
-65.000E-06,+3.135678358E+00,+0.0E+00,+3.291457251E+00
-64.900E-06,+3.135678358E+00,-5.025126E-03,+3.251256247E+00
-64.800E-06,+3.145728610E+00,+0.0E+00,+3.286432126E+00
-64.700E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-64.600E-06,+3.135678358E+00,-5.025126E-03,+3.276381874E+00
-64.500E-06,+3.135678358E+00,-5.025126E-03,+3.251256247E+00
-64.400E-06,+3.140703484E+00,+0.0E+00,+3.271356749E+00
-64.300E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-64.200E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-64.100E-06,+3.135678358E+00,+0.0E+00,+3.281407000E+00
-64.000E-06,+3.150753735E+00,+0.0E+00,+3.276381874E+00
-63.900E-06,+3.135678358E+00,-10.050251E-03,+3.291457251E+00
-63.800E-06,+3.150753735E+00,+0.0E+00,+3.286432126E+00
-63.700E-06,+3.135678358E+00,-5.025126E-03,+3.286432126E+00
-63.600E-06,+3.135678358E+00,-10.050251E-03,+3.276381874E+00
-63.500E-06,+3.135678358E+00,-10.050251E-03,+3.286432126E+00
-63.400E-06,+3.140703484E+00,+0.0E+00,+3.266331623E+00
-63.300E-06,+3.135678358E+00,-5.025126E-03,+3.286432126E+00
-63.200E-06,+3.135678358E+00,+0.0E+00,+3.241205995E+00
-63.100E-06,+3.135678358E+00,-5.025126E-03,+3.266331623E+00
-63.000E-06,+3.135678358E+00,+0.0E+00,+3.271356749E+00
-62.900E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-62.800E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-62.700E-06,+3.135678358E+00,-10.050251E-03,+3.276381874E+00
-62.600E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-62.500E-06,+3.150753735E+00,-10.050251E-03,+3.256281372E+00
-62.400E-06,+3.135678358E+00,-25.125628E-03,+3.246231121E+00
-62.300E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-62.200E-06,+3.135678358E+00,-15.075377E-03,+3.261306498E+00
-62.100E-06,+3.140703484E+00,-10.050251E-03,+3.276381874E+00
-62.000E-06,+3.135678358E+00,-10.050251E-03,+3.256281372E+00
-61.900E-06,+3.145728610E+00,+0.0E+00,+3.246231121E+00
-61.800E-06,+3.140703484E+00,-25.125628E-03,+3.246231121E+00
-61.700E-06,+3.135678358E+00,-5.025126E-03,+3.251256247E+00
-61.600E-06,+3.135678358E+00,-10.050251E-03,+3.286432126E+00
-61.500E-06,+3.135678358E+00,+0.0E+00,+3.271356749E+00
-61.400E-06,+3.135678358E+00,-15.075377E-03,+3.266331623E+00
-61.300E-06,+3.135678358E+00,+0.0E+00,+3.291457251E+00
-61.200E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-61.100E-06,+3.135678358E+00,+0.0E+00,+3.276381874E+00
-61.000E-06,+3.135678358E+00,-5.025126E-03,+3.266331623E+00
-60.900E-06,+3.135678358E+00,-5.025126E-03,+3.266331623E+00
-60.800E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-60.700E-06,+3.135678358E+00,+0.0E+00,+3.256281372E+00
-60.600E-06,+3.135678358E+00,+0.0E+00,+3.251256247E+00
-60.500E-06,+3.140703484E+00,+0.0E+00,+3.266331623E+00
-60.400E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-60.300E-06,+3.135678358E+00,-5.025126E-03,+3.251256247E+00
-60.200E-06,+3.135678358E+00,-5.025126E-03,+3.246231121E+00
-60.100E-06,+3.135678358E+00,-5.025126E-03,+3.261306498E+00
-60.000E-06,+3.140703484E+00,-15.075377E-03,+3.261306498E+00
-59.900E-06,+3.135678358E+00,+0.0E+00,+3.266331623E+00
-59.800E-06,+3.135678358E+00,-15.075377E-03,+3.251256247E+00
-59.700E-06,+3.135678358E+00,+0.0E+00,+3.271356749E+00
-59.600E-06,+3.135678358E+00,+0.0E+00,+3.261306498E+00
-59.500E-06,+3.140703484E+00,+0.0E+00,+3.266331623E+00
-59.400E-06,+3.135678358E+00,-5.025126E-03,+3.256281372E+00
